Universal Time,Unix Time,Open,High,Low,Close,Volume
2022-05-16 00:00:00,1652659200.0,0.4905,0.4905,0.4878,0.4884,61836.0
2022-05-16 00:01:00,1652659260.0,0.4885,0.4887,0.4859,0.4866,37850.0
2022-05-16 00:02:00,1652659320.0,0.4867,0.4875,0.4858,0.4867,56200.0
2022-05-16 00:03:00,1652659380.0,0.487,0.487,0.4859,0.4866,25905.0
2022-05-16 00:04:00,1652659440.0,0.4865,0.4874,0.486,0.4874,42390.0
2022-05-16 00:05:00,1652659500.0,0.4868,0.487,0.4844,0.4844,41263.0
2022-05-16 00:06:00,1652659560.0,0.4847,0.4853,0.4847,0.4851,9550.0
2022-05-16 00:07:00,1652659620.0,0.4853,0.4855,0.4842,0.4844,82038.0
2022-05-16 00:08:00,1652659680.0,0.4847,0.4856,0.4847,0.4851,17115.0
2022-05-16 00:09:00,1652659740.0,0.485,0.4855,0.4839,0.4841,52906.0
2022-05-16 00:10:00,1652659800.0,0.4843,0.4851,0.4841,0.4841,22116.0
2022-05-16 00:11:00,1652659860.0,0.4841,0.4844,0.4825,0.4828,107607.0
2022-05-16 00:12:00,1652659920.0,0.4829,0.4833,0.4826,0.4833,12025.0
2022-05-16 00:13:00,1652659980.0,0.4829,0.4831,0.4821,0.4826,10571.0
2022-05-16 00:14:00,1652660040.0,0.4825,0.4825,0.4816,0.4817,13162.0
2022-05-16 00:15:00,1652660100.0,0.4817,0.4817,0.4798,0.4799,79584.0
2022-05-16 00:16:00,1652660160.0,0.4799,0.4816,0.4799,0.4806,27685.0
2022-05-16 00:17:00,1652660220.0,0.4805,0.4805,0.4784,0.4786,52056.0
2022-05-16 00:18:00,1652660280.0,0.4785,0.48,0.4785,0.4793,36243.0
2022-05-16 00:19:00,1652660340.0,0.4794,0.4799,0.4794,0.4798,16486.0
2022-05-16 00:20:00,1652660400.0,0.4796,0.4803,0.4794,0.4796,40665.0
2022-05-16 00:21:00,1652660460.0,0.4795,0.4797,0.4791,0.4796,11691.0
2022-05-16 00:22:00,1652660520.0,0.4796,0.4798,0.4785,0.4788,30293.0
2022-05-16 00:23:00,1652660580.0,0.4789,0.4795,0.4789,0.4793,36842.0
