Universal Time,Unix Time,Open,High,Low,Close,Volume
2022-08-08 00:00:00,1659916800.0,27.89,27.9,27.86,27.87,3641.19
2022-08-08 00:01:00,1659916860.0,27.86,27.87,27.8,27.8,1609.72
2022-08-08 00:02:00,1659916920.0,27.8,27.82,27.77,27.81,1760.54
2022-08-08 00:03:00,1659916980.0,27.82,27.84,27.8,27.81,1439.52
2022-08-08 00:04:00,1659917040.0,27.81,27.84,27.8,27.83,2008.65
2022-08-08 00:05:00,1659917100.0,27.83,27.83,27.82,27.83,1043.88
2022-08-08 00:06:00,1659917160.0,27.82,27.85,27.82,27.83,434.02
2022-08-08 00:07:00,1659917220.0,27.82,27.87,27.82,27.87,333.23
2022-08-08 00:08:00,1659917280.0,27.87,27.92,27.87,27.9,2327.17
2022-08-08 00:09:00,1659917340.0,27.9,27.91,27.88,27.91,276.14
2022-08-08 00:10:00,1659917400.0,27.91,27.98,27.91,27.98,1041.08
2022-08-08 00:11:00,1659917460.0,27.97,28.02,27.97,28.01,2329.02
2022-08-08 00:12:00,1659917520.0,28.01,28.05,28.0,28.0,7332.6
2022-08-08 00:13:00,1659917580.0,28.01,28.02,27.95,27.96,4208.49
2022-08-08 00:14:00,1659917640.0,27.95,28.02,27.95,28.01,3802.61
2022-08-08 00:15:00,1659917700.0,28.02,28.08,28.0,28.07,2308.59
2022-08-08 00:16:00,1659917760.0,28.07,28.13,28.04,28.12,4033.61
2022-08-08 00:17:00,1659917820.0,28.13,28.2,28.11,28.17,4965.5
2022-08-08 00:18:00,1659917880.0,28.17,28.2,28.16,28.16,3158.86
2022-08-08 00:19:00,1659917940.0,28.15,28.2,28.14,28.19,1438.88
2022-08-08 00:20:00,1659918000.0,28.19,28.2,28.14,28.18,1612.9
2022-08-08 00:21:00,1659918060.0,28.17,28.17,28.12,28.12,1969.79
2022-08-08 00:22:00,1659918120.0,28.13,28.17,28.12,28.16,3342.12
2022-08-08 00:23:00,1659918180.0,28.16,28.16,28.13,28.14,1302.39
2022-08-08 00:24:00,1659918240.0,28.15,28.17,28.14,28.16,481.0
2022-08-08 00:25:00,1659918300.0,28.16,28.16,28.13,28.13,1037.11
2022-08-08 00:26:00,1659918360.0,28.13,28.13,28.1,28.13,1485.44
2022-08-08 00:27:00,1659918420.0,28.13,28.18,28.13,28.18,1342.77
2022-08-08 00:28:00,1659918480.0,28.18,28.18,28.15,28.15,1300.02
2022-08-08 00:29:00,1659918540.0,28.15,28.15,28.1,28.13,2383.27
2022-08-08 00:30:00,1659918600.0,28.12,28.13,28.04,28.07,3079.05
2022-08-08 00:31:00,1659918660.0,28.07,28.07,27.97,28.03,2576.12
2022-08-08 00:32:00,1659918720.0,28.04,28.05,28.02,28.03,2196.63
2022-08-08 00:33:00,1659918780.0,28.03,28.03,27.97,28.02,1893.17
2022-08-08 00:34:00,1659918840.0,28.02,28.05,28.0,28.0,1581.22
2022-08-08 00:35:00,1659918900.0,28.0,28.01,27.96,27.96,2806.91
2022-08-08 00:36:00,1659918960.0,27.96,27.99,27.94,27.96,1740.45
2022-08-08 00:37:00,1659919020.0,27.96,27.98,27.94,27.94,1270.35
2022-08-08 00:38:00,1659919080.0,27.94,27.94,27.89,27.9,3993.05
2022-08-08 00:39:00,1659919140.0,27.89,27.91,27.88,27.89,861.41
2022-08-08 00:40:00,1659919200.0,27.89,27.89,27.87,27.88,698.04
2022-08-08 00:41:00,1659919260.0,27.88,27.88,27.86,27.87,743.38
2022-08-08 00:42:00,1659919320.0,27.87,27.88,27.86,27.86,883.72
2022-08-08 00:43:00,1659919380.0,27.87,27.88,27.84,27.85,779.31
2022-08-08 00:44:00,1659919440.0,27.87,27.89,27.87,27.89,1075.34
2022-08-08 00:45:00,1659919500.0,27.88,27.95,27.88,27.92,1549.56
2022-08-08 00:46:00,1659919560.0,27.92,27.97,27.92,27.95,1256.01
2022-08-08 00:47:00,1659919620.0,27.96,27.96,27.94,27.96,348.97
2022-08-08 00:48:00,1659919680.0,27.96,27.97,27.93,27.94,464.43
2022-08-08 00:49:00,1659919740.0,27.93,27.93,27.87,27.89,1146.04
2022-08-08 00:50:00,1659919800.0,27.89,27.9,27.86,27.86,471.51
2022-08-08 00:51:00,1659919860.0,27.87,27.92,27.86,27.91,886.31
2022-08-08 00:52:00,1659919920.0,27.9,27.9,27.87,27.9,791.34
2022-08-08 00:53:00,1659919980.0,27.89,27.9,27.87,27.88,675.11
2022-08-08 00:54:00,1659920040.0,27.88,27.88,27.87,27.87,809.79
2022-08-08 00:55:00,1659920100.0,27.87,27.87,27.81,27.82,1230.02
2022-08-08 00:56:00,1659920160.0,27.81,27.82,27.79,27.82,1642.15
2022-08-08 00:57:00,1659920220.0,27.82,27.85,27.81,27.83,757.8
2022-08-08 00:58:00,1659920280.0,27.82,27.85,27.81,27.85,845.62
2022-08-08 00:59:00,1659920340.0,27.85,27.85,27.83,27.85,2764.73
2022-08-08 01:00:00,1659920400.0,27.85,27.85,27.82,27.85,536.64
2022-08-08 01:01:00,1659920460.0,27.85,27.85,27.79,27.79,2417.23
2022-08-08 01:02:00,1659920520.0,27.78,27.79,27.78,27.79,428.41
2022-08-08 01:03:00,1659920580.0,27.79,27.79,27.74,27.77,1804.2
2022-08-08 01:04:00,1659920640.0,27.77,27.78,27.76,27.77,438.6
2022-08-08 01:05:00,1659920700.0,27.77,27.78,27.76,27.78,333.69
2022-08-08 01:06:00,1659920760.0,27.78,27.78,27.76,27.78,728.62
2022-08-08 01:07:00,1659920820.0,27.78,27.8,27.78,27.79,656.78
2022-08-08 01:08:00,1659920880.0,27.79,27.8,27.79,27.8,314.49
2022-08-08 01:09:00,1659920940.0,27.79,27.83,27.79,27.82,434.85
2022-08-08 01:10:00,1659921000.0,27.82,27.83,27.77,27.77,1145.6
2022-08-08 01:11:00,1659921060.0,27.76,27.79,27.75,27.76,1701.05
2022-08-08 01:12:00,1659921120.0,27.75,27.76,27.75,27.75,518.06
