Universal Time,Unix Time,Open,High,Low,Close,Volume
2023-07-18 00:00:00,1689638400.0,7.186,7.201,7.186,7.195,8248.07
2023-07-18 00:01:00,1689638460.0,7.195,7.215,7.195,7.21,17615.25
2023-07-18 00:02:00,1689638520.0,7.209,7.219,7.196,7.196,16882.55
2023-07-18 00:03:00,1689638580.0,7.195,7.201,7.187,7.195,7968.21
2023-07-18 00:04:00,1689638640.0,7.193,7.21,7.189,7.21,3287.19
2023-07-18 00:05:00,1689638700.0,7.207,7.225,7.206,7.223,13758.66
2023-07-18 00:06:00,1689638760.0,7.224,7.243,7.224,7.234,10255.51
2023-07-18 00:07:00,1689638820.0,7.236,7.245,7.233,7.242,9677.5
2023-07-18 00:08:00,1689638880.0,7.241,7.245,7.239,7.243,22330.24
2023-07-18 00:09:00,1689638940.0,7.241,7.246,7.236,7.237,17730.81
2023-07-18 00:10:00,1689639000.0,7.24,7.243,7.228,7.239,4582.34
2023-07-18 00:11:00,1689639060.0,7.239,7.241,7.228,7.238,7904.94
2023-07-18 00:12:00,1689639120.0,7.239,7.247,7.231,7.232,10392.88
2023-07-18 00:13:00,1689639180.0,7.231,7.231,7.226,7.23,5077.76
2023-07-18 00:14:00,1689639240.0,7.229,7.248,7.228,7.248,10766.87
2023-07-18 00:15:00,1689639300.0,7.247,7.253,7.245,7.249,6806.83
2023-07-18 00:16:00,1689639360.0,7.25,7.261,7.249,7.249,10488.69
2023-07-18 00:17:00,1689639420.0,7.248,7.249,7.237,7.241,8716.3
2023-07-18 00:18:00,1689639480.0,7.239,7.261,7.239,7.259,4367.11
2023-07-18 00:19:00,1689639540.0,7.258,7.265,7.254,7.265,10187.24
2023-07-18 00:20:00,1689639600.0,7.265,7.271,7.254,7.265,18899.05
2023-07-18 00:21:00,1689639660.0,7.266,7.285,7.257,7.26,28306.44
2023-07-18 00:22:00,1689639720.0,7.258,7.262,7.235,7.237,34137.96
2023-07-18 00:23:00,1689639780.0,7.235,7.244,7.227,7.232,9819.01
2023-07-18 00:24:00,1689639840.0,7.236,7.243,7.228,7.237,12477.29
2023-07-18 00:25:00,1689639900.0,7.236,7.236,7.227,7.228,4866.66
2023-07-18 00:26:00,1689639960.0,7.227,7.234,7.225,7.232,3524.97
2023-07-18 00:27:00,1689640020.0,7.231,7.235,7.231,7.232,1995.59
2023-07-18 00:28:00,1689640080.0,7.232,7.244,7.227,7.244,13869.07
2023-07-18 00:29:00,1689640140.0,7.242,7.249,7.235,7.237,4439.92
2023-07-18 00:30:00,1689640200.0,7.235,7.245,7.227,7.243,3628.97
2023-07-18 00:31:00,1689640260.0,7.242,7.242,7.221,7.221,7575.39
2023-07-18 00:32:00,1689640320.0,7.221,7.229,7.221,7.226,5762.1
2023-07-18 00:33:00,1689640380.0,7.226,7.23,7.222,7.229,3034.66
2023-07-18 00:34:00,1689640440.0,7.23,7.23,7.216,7.22,3366.64
2023-07-18 00:35:00,1689640500.0,7.219,7.242,7.216,7.239,4504.79
2023-07-18 00:36:00,1689640560.0,7.238,7.271,7.238,7.269,11439.31
2023-07-18 00:37:00,1689640620.0,7.269,7.27,7.256,7.256,3833.84
2023-07-18 00:38:00,1689640680.0,7.255,7.267,7.247,7.264,7735.6
2023-07-18 00:39:00,1689640740.0,7.265,7.281,7.265,7.28,6479.62
2023-07-18 00:40:00,1689640800.0,7.28,7.281,7.263,7.267,3929.51
2023-07-18 00:41:00,1689640860.0,7.266,7.28,7.266,7.278,17757.28
2023-07-18 00:42:00,1689640920.0,7.275,7.276,7.266,7.276,4432.91
2023-07-18 00:43:00,1689640980.0,7.275,7.284,7.272,7.282,4236.13
2023-07-18 00:44:00,1689641040.0,7.281,7.287,7.281,7.287,8070.84
2023-07-18 00:45:00,1689641100.0,7.285,7.288,7.271,7.288,9129.78
2023-07-18 00:46:00,1689641160.0,7.288,7.3,7.286,7.29,29284.44
2023-07-18 00:47:00,1689641220.0,7.289,7.295,7.268,7.27,7631.27
2023-07-18 00:48:00,1689641280.0,7.271,7.283,7.264,7.264,2861.6
2023-07-18 00:49:00,1689641340.0,7.264,7.265,7.254,7.265,5346.13
2023-07-18 00:50:00,1689641400.0,7.264,7.27,7.257,7.261,8073.63
2023-07-18 00:51:00,1689641460.0,7.26,7.282,7.258,7.278,13530.8
2023-07-18 00:52:00,1689641520.0,7.28,7.286,7.279,7.28,2128.06
2023-07-18 00:53:00,1689641580.0,7.28,7.286,7.272,7.285,7442.46
2023-07-18 00:54:00,1689641640.0,7.286,7.287,7.263,7.263,5771.51
2023-07-18 00:55:00,1689641700.0,7.264,7.264,7.259,7.259,3177.34
2023-07-18 00:56:00,1689641760.0,7.258,7.264,7.253,7.263,4572.14
2023-07-18 00:57:00,1689641820.0,7.262,7.264,7.251,7.253,6020.8
2023-07-18 00:58:00,1689641880.0,7.254,7.256,7.25,7.252,5875.92
2023-07-18 00:59:00,1689641940.0,7.252,7.282,7.251,7.282,29106.9
2023-07-18 01:00:00,1689642000.0,7.282,7.291,7.259,7.263,42014.52
2023-07-18 01:01:00,1689642060.0,7.262,7.292,7.258,7.29,8244.88
2023-07-18 01:02:00,1689642120.0,7.29,7.299,7.288,7.294,9859.75
2023-07-18 01:03:00,1689642180.0,7.293,7.296,7.287,7.287,5646.57
2023-07-18 01:04:00,1689642240.0,7.287,7.293,7.274,7.288,18874.78
2023-07-18 01:05:00,1689642300.0,7.288,7.294,7.276,7.276,12468.84
2023-07-18 01:06:00,1689642360.0,7.275,7.287,7.273,7.286,5240.18
2023-07-18 01:07:00,1689642420.0,7.285,7.296,7.272,7.29,26792.46
2023-07-18 01:08:00,1689642480.0,7.289,7.289,7.272,7.273,10192.68
2023-07-18 01:09:00,1689642540.0,7.273,7.275,7.269,7.269,3256.42
