Universal Time,Unix Time,Open,High,Low,Close,Volume
2024-12-28 00:00:00,1735344000.0,5.116,5.121,5.111,5.121,5477.1
2024-12-28 00:01:00,1735344060.0,5.122,5.126,5.118,5.118,5748.4
2024-12-28 00:02:00,1735344120.0,5.118,5.125,5.113,5.116,9092.3
2024-12-28 00:03:00,1735344180.0,5.117,5.121,5.112,5.112,1534.6
2024-12-28 00:04:00,1735344240.0,5.113,5.118,5.11,5.116,2315.0
2024-12-28 00:05:00,1735344300.0,5.115,5.125,5.114,5.125,1992.7
2024-12-28 00:06:00,1735344360.0,5.125,5.125,5.117,5.118,2583.0
2024-12-28 00:07:00,1735344420.0,5.118,5.123,5.115,5.116,906.1
2024-12-28 00:08:00,1735344480.0,5.117,5.119,5.111,5.112,1589.1
2024-12-28 00:09:00,1735344540.0,5.112,5.119,5.106,5.118,5280.4
2024-12-28 00:10:00,1735344600.0,5.117,5.123,5.112,5.121,4193.6
2024-12-28 00:11:00,1735344660.0,5.121,5.13,5.12,5.129,5277.3
2024-12-28 00:12:00,1735344720.0,5.128,5.133,5.123,5.123,3717.7
2024-12-28 00:13:00,1735344780.0,5.122,5.126,5.118,5.126,457.0
2024-12-28 00:14:00,1735344840.0,5.126,5.128,5.123,5.124,3905.6
2024-12-28 00:15:00,1735344900.0,5.125,5.13,5.125,5.127,1258.0
2024-12-28 00:16:00,1735344960.0,5.127,5.131,5.123,5.124,1119.3
2024-12-28 00:17:00,1735345020.0,5.125,5.13,5.12,5.127,4683.2
2024-12-28 00:18:00,1735345080.0,5.127,5.138,5.127,5.132,2132.4
2024-12-28 00:19:00,1735345140.0,5.132,5.139,5.131,5.132,1813.8
2024-12-28 00:20:00,1735345200.0,5.132,5.135,5.128,5.132,26671.1
2024-12-28 00:21:00,1735345260.0,5.131,5.132,5.124,5.125,2674.0
2024-12-28 00:22:00,1735345320.0,5.125,5.129,5.122,5.123,4291.8
2024-12-28 00:23:00,1735345380.0,5.124,5.131,5.119,5.119,1409.3
2024-12-28 00:24:00,1735345440.0,5.12,5.121,5.111,5.111,2116.6
2024-12-28 00:25:00,1735345500.0,5.112,5.114,5.108,5.111,2527.5
2024-12-28 00:26:00,1735345560.0,5.111,5.132,5.111,5.131,1387.4
2024-12-28 00:27:00,1735345620.0,5.131,5.139,5.131,5.135,4138.2
2024-12-28 00:28:00,1735345680.0,5.137,5.139,5.135,5.138,2786.9
2024-12-28 00:29:00,1735345740.0,5.137,5.137,5.13,5.131,1634.2
2024-12-28 00:30:00,1735345800.0,5.132,5.137,5.13,5.133,905.1
2024-12-28 00:31:00,1735345860.0,5.134,5.139,5.132,5.132,1891.3
2024-12-28 00:32:00,1735345920.0,5.131,5.133,5.128,5.128,882.2
2024-12-28 00:33:00,1735345980.0,5.127,5.127,5.121,5.126,955.7
2024-12-28 00:34:00,1735346040.0,5.126,5.128,5.122,5.127,844.9
2024-12-28 00:35:00,1735346100.0,5.126,5.13,5.125,5.129,379.0
2024-12-28 00:36:00,1735346160.0,5.128,5.129,5.122,5.127,4077.3
2024-12-28 00:37:00,1735346220.0,5.126,5.126,5.117,5.119,2221.2
2024-12-28 00:38:00,1735346280.0,5.12,5.122,5.12,5.12,121.5
2024-12-28 00:39:00,1735346340.0,5.121,5.123,5.116,5.116,1005.3
2024-12-28 00:40:00,1735346400.0,5.116,5.117,5.108,5.109,1197.0
2024-12-28 00:41:00,1735346460.0,5.11,5.112,5.109,5.112,1175.2
2024-12-28 00:42:00,1735346520.0,5.112,5.121,5.111,5.117,13058.1
2024-12-28 00:43:00,1735346580.0,5.118,5.124,5.118,5.123,3486.0
2024-12-28 00:44:00,1735346640.0,5.122,5.122,5.115,5.117,1085.0
2024-12-28 00:45:00,1735346700.0,5.118,5.124,5.118,5.12,1798.1
2024-12-28 00:46:00,1735346760.0,5.121,5.129,5.12,5.128,967.5
2024-12-28 00:47:00,1735346820.0,5.128,5.13,5.123,5.13,243.6
2024-12-28 00:48:00,1735346880.0,5.13,5.13,5.126,5.128,2100.3
2024-12-28 00:49:00,1735346940.0,5.128,5.128,5.121,5.126,2346.2
2024-12-28 00:50:00,1735347000.0,5.124,5.128,5.122,5.128,334.2
2024-12-28 00:51:00,1735347060.0,5.127,5.137,5.127,5.133,996.2
2024-12-28 00:52:00,1735347120.0,5.134,5.137,5.131,5.132,2178.8
2024-12-28 00:53:00,1735347180.0,5.132,5.132,5.129,5.132,392.4
2024-12-28 00:54:00,1735347240.0,5.131,5.132,5.126,5.129,2704.4
2024-12-28 00:55:00,1735347300.0,5.13,5.132,5.127,5.132,1185.7
2024-12-28 00:56:00,1735347360.0,5.133,5.139,5.133,5.135,2439.3
2024-12-28 00:57:00,1735347420.0,5.136,5.136,5.132,5.134,1044.6
2024-12-28 00:58:00,1735347480.0,5.134,5.134,5.129,5.129,147.3
2024-12-28 00:59:00,1735347540.0,5.13,5.134,5.13,5.133,672.3
2024-12-28 01:00:00,1735347600.0,5.134,5.14,5.134,5.137,2133.4
2024-12-28 01:01:00,1735347660.0,5.136,5.138,5.133,5.133,2742.4
2024-12-28 01:02:00,1735347720.0,5.132,5.133,5.126,5.126,1574.3
2024-12-28 01:03:00,1735347780.0,5.125,5.125,5.122,5.125,2011.4
2024-12-28 01:04:00,1735347840.0,5.125,5.127,5.121,5.126,373.8
2024-12-28 01:05:00,1735347900.0,5.128,5.134,5.128,5.13,1405.4
2024-12-28 01:06:00,1735347960.0,5.129,5.129,5.123,5.127,2158.5
2024-12-28 01:07:00,1735348020.0,5.127,5.129,5.124,5.128,2108.0
2024-12-28 01:08:00,1735348080.0,5.127,5.132,5.126,5.132,8325.0
2024-12-28 01:09:00,1735348140.0,5.131,5.133,5.125,5.125,4946.1
2024-12-28 01:10:00,1735348200.0,5.124,5.124,5.118,5.12,2777.9
2024-12-28 01:11:00,1735348260.0,5.12,5.122,5.119,5.122,1111.5
2024-12-28 01:12:00,1735348320.0,5.122,5.124,5.122,5.123,833.1
