Universal Time,Unix Time,Open,High,Low,Close,Volume
2023-09-18 00:00:00,1694995200.0,18.81,18.82,18.8,18.81,757.93
2023-09-18 00:01:00,1694995260.0,18.81,18.82,18.81,18.82,46.7
2023-09-18 00:02:00,1694995320.0,18.81,18.82,18.8,18.81,145.41
2023-09-18 00:03:00,1694995380.0,18.81,18.81,18.81,18.81,286.92
2023-09-18 00:04:00,1694995440.0,18.81,18.82,18.81,18.82,21.85
2023-09-18 00:05:00,1694995500.0,18.82,18.82,18.8,18.81,147.96
2023-09-18 00:06:00,1694995560.0,18.8,18.8,18.79,18.79,234.11
2023-09-18 00:07:00,1694995620.0,18.8,18.82,18.8,18.82,1299.69
2023-09-18 00:08:00,1694995680.0,18.82,18.84,18.82,18.84,437.69
2023-09-18 00:09:00,1694995740.0,18.84,18.84,18.83,18.83,39.54
2023-09-18 00:10:00,1694995800.0,18.84,18.84,18.82,18.82,860.61
2023-09-18 00:11:00,1694995860.0,18.82,18.82,18.8,18.8,375.88
2023-09-18 00:12:00,1694995920.0,18.8,18.8,18.78,18.78,1488.52
2023-09-18 00:13:00,1694995980.0,18.79,18.79,18.77,18.77,1437.95
2023-09-18 00:14:00,1694996040.0,18.78,18.79,18.78,18.79,961.31
2023-09-18 00:15:00,1694996100.0,18.79,18.8,18.78,18.8,528.03
2023-09-18 00:16:00,1694996160.0,18.8,18.8,18.79,18.8,752.27
2023-09-18 00:17:00,1694996220.0,18.8,18.8,18.8,18.8,521.93
2023-09-18 00:18:00,1694996280.0,18.8,18.8,18.79,18.79,308.36
2023-09-18 00:19:00,1694996340.0,18.79,18.79,18.77,18.77,562.85
2023-09-18 00:20:00,1694996400.0,18.77,18.77,18.76,18.76,1320.31
2023-09-18 00:21:00,1694996460.0,18.76,18.76,18.75,18.75,1597.05
2023-09-18 00:22:00,1694996520.0,18.75,18.77,18.75,18.76,839.02
2023-09-18 00:23:00,1694996580.0,18.75,18.75,18.75,18.75,192.28
2023-09-18 00:24:00,1694996640.0,18.76,18.76,18.73,18.74,2449.19
2023-09-18 00:25:00,1694996700.0,18.74,18.74,18.72,18.73,717.35
2023-09-18 00:26:00,1694996760.0,18.73,18.74,18.72,18.73,2130.44
2023-09-18 00:27:00,1694996820.0,18.73,18.75,18.72,18.75,5494.52
2023-09-18 00:28:00,1694996880.0,18.75,18.75,18.73,18.74,783.36
2023-09-18 00:29:00,1694996940.0,18.74,18.75,18.73,18.73,2720.72
2023-09-18 00:30:00,1694997000.0,18.72,18.72,18.67,18.69,11076.68
2023-09-18 00:31:00,1694997060.0,18.69,18.72,18.62,18.72,20522.13
2023-09-18 00:32:00,1694997120.0,18.73,18.73,18.68,18.68,6132.28
2023-09-18 00:33:00,1694997180.0,18.69,18.69,18.64,18.65,6810.68
2023-09-18 00:34:00,1694997240.0,18.65,18.65,18.59,18.62,8257.64
2023-09-18 00:35:00,1694997300.0,18.61,18.66,18.6,18.64,2836.43
2023-09-18 00:36:00,1694997360.0,18.65,18.65,18.61,18.62,2595.65
2023-09-18 00:37:00,1694997420.0,18.61,18.63,18.61,18.63,1130.42
2023-09-18 00:38:00,1694997480.0,18.62,18.64,18.61,18.64,1819.57
2023-09-18 00:39:00,1694997540.0,18.63,18.64,18.63,18.64,784.15
2023-09-18 00:40:00,1694997600.0,18.64,18.64,18.61,18.61,1831.34
2023-09-18 00:41:00,1694997660.0,18.62,18.67,18.62,18.67,2771.15
2023-09-18 00:42:00,1694997720.0,18.67,18.69,18.66,18.68,2100.88
2023-09-18 00:43:00,1694997780.0,18.69,18.72,18.68,18.71,4217.64
2023-09-18 00:44:00,1694997840.0,18.71,18.72,18.69,18.69,1116.87
2023-09-18 00:45:00,1694997900.0,18.69,18.69,18.65,18.67,2312.12
2023-09-18 00:46:00,1694997960.0,18.67,18.7,18.67,18.69,6390.27
2023-09-18 00:47:00,1694998020.0,18.69,18.69,18.64,18.66,9130.11
2023-09-18 00:48:00,1694998080.0,18.66,18.73,18.66,18.72,3933.75
2023-09-18 00:49:00,1694998140.0,18.72,18.73,18.71,18.71,589.11
2023-09-18 00:50:00,1694998200.0,18.71,18.75,18.71,18.74,223.05
2023-09-18 00:51:00,1694998260.0,18.74,18.76,18.73,18.75,1483.14
2023-09-18 00:52:00,1694998320.0,18.75,18.75,18.72,18.72,1082.48
2023-09-18 00:53:00,1694998380.0,18.71,18.72,18.7,18.7,421.81
2023-09-18 00:54:00,1694998440.0,18.7,18.71,18.7,18.71,312.18
2023-09-18 00:55:00,1694998500.0,18.72,18.72,18.71,18.71,119.44
2023-09-18 00:56:00,1694998560.0,18.71,18.71,18.69,18.7,246.77
2023-09-18 00:57:00,1694998620.0,18.69,18.69,18.68,18.68,1154.79
2023-09-18 00:58:00,1694998680.0,18.67,18.68,18.66,18.68,1391.27
2023-09-18 00:59:00,1694998740.0,18.69,18.69,18.67,18.67,401.93
2023-09-18 01:00:00,1694998800.0,18.67,18.67,18.65,18.66,857.65
2023-09-18 01:01:00,1694998860.0,18.66,18.69,18.66,18.69,685.19
2023-09-18 01:02:00,1694998920.0,18.69,18.69,18.68,18.68,301.08
2023-09-18 01:03:00,1694998980.0,18.68,18.68,18.66,18.66,418.88
2023-09-18 01:04:00,1694999040.0,18.65,18.66,18.64,18.65,248.42
