Universal Time,Unix Time,Open,High,Low,Close,Volume
2024-11-29 00:00:00,1732838400.0,0.2032,0.2033,0.2031,0.2032,192339.6
2024-11-29 00:01:00,1732838460.0,0.2033,0.2034,0.2032,0.2034,67439.3
2024-11-29 00:02:00,1732838520.0,0.2033,0.2034,0.2032,0.2032,69699.1
2024-11-29 00:03:00,1732838580.0,0.2032,0.2033,0.2032,0.2032,138022.8
2024-11-29 00:04:00,1732838640.0,0.2032,0.2033,0.2031,0.2033,56428.4
2024-11-29 00:05:00,1732838700.0,0.2033,0.2033,0.2032,0.2033,71042.6
2024-11-29 00:06:00,1732838760.0,0.2033,0.2034,0.2032,0.2033,121389.9
2024-11-29 00:07:00,1732838820.0,0.2032,0.2033,0.2031,0.2031,176239.1
2024-11-29 00:08:00,1732838880.0,0.2032,0.2033,0.2031,0.2031,164232.4
2024-11-29 00:09:00,1732838940.0,0.2032,0.2032,0.203,0.2031,198002.4
2024-11-29 00:10:00,1732839000.0,0.2031,0.2032,0.203,0.2031,437169.6
2024-11-29 00:11:00,1732839060.0,0.2031,0.2032,0.203,0.2031,184930.5
2024-11-29 00:12:00,1732839120.0,0.2031,0.2031,0.2029,0.2031,436643.2
2024-11-29 00:13:00,1732839180.0,0.203,0.2033,0.203,0.2033,320332.1
2024-11-29 00:14:00,1732839240.0,0.2032,0.2032,0.2031,0.2031,145510.0
2024-11-29 00:15:00,1732839300.0,0.2031,0.2034,0.203,0.2033,212430.2
2024-11-29 00:16:00,1732839360.0,0.2033,0.2035,0.2033,0.2034,388604.5
2024-11-29 00:17:00,1732839420.0,0.2034,0.2035,0.2033,0.2035,397943.7
2024-11-29 00:18:00,1732839480.0,0.2034,0.2034,0.2033,0.2034,156612.1
2024-11-29 00:19:00,1732839540.0,0.2033,0.2035,0.2033,0.2033,69725.6
2024-11-29 00:20:00,1732839600.0,0.2033,0.2034,0.2033,0.2033,168651.1
2024-11-29 00:21:00,1732839660.0,0.2033,0.2034,0.2032,0.2034,65234.4
2024-11-29 00:22:00,1732839720.0,0.2034,0.2035,0.2033,0.2035,92711.6
2024-11-29 00:23:00,1732839780.0,0.2035,0.2035,0.2033,0.2033,183157.9
2024-11-29 00:24:00,1732839840.0,0.2033,0.2033,0.2031,0.2032,486698.0
2024-11-29 00:25:00,1732839900.0,0.2031,0.2032,0.2031,0.2032,49521.4
2024-11-29 00:26:00,1732839960.0,0.2031,0.2032,0.2031,0.2032,22177.7
2024-11-29 00:27:00,1732840020.0,0.2032,0.2032,0.203,0.203,278520.2
2024-11-29 00:28:00,1732840080.0,0.2029,0.203,0.2029,0.203,137742.8
2024-11-29 00:29:00,1732840140.0,0.203,0.2031,0.2029,0.203,244898.8
2024-11-29 00:30:00,1732840200.0,0.2031,0.2032,0.203,0.203,168048.5
2024-11-29 00:31:00,1732840260.0,0.203,0.203,0.2028,0.2028,1533671.1
2024-11-29 00:32:00,1732840320.0,0.2028,0.2028,0.2027,0.2027,282306.0
2024-11-29 00:33:00,1732840380.0,0.2028,0.2029,0.2027,0.2029,1010674.1
2024-11-29 00:34:00,1732840440.0,0.2028,0.203,0.2028,0.203,47065.9
2024-11-29 00:35:00,1732840500.0,0.2029,0.2031,0.2029,0.2031,73604.6
2024-11-29 00:36:00,1732840560.0,0.203,0.2031,0.203,0.2031,365369.1
2024-11-29 00:37:00,1732840620.0,0.203,0.2032,0.203,0.2031,95440.4
2024-11-29 00:38:00,1732840680.0,0.2031,0.2033,0.203,0.2033,1424801.3
2024-11-29 00:39:00,1732840740.0,0.2032,0.2032,0.2031,0.2032,99562.1
2024-11-29 00:40:00,1732840800.0,0.2032,0.2033,0.2031,0.2031,131517.9
2024-11-29 00:41:00,1732840860.0,0.2031,0.2032,0.203,0.203,182635.4
2024-11-29 00:42:00,1732840920.0,0.203,0.2032,0.203,0.2031,155995.5
2024-11-29 00:43:00,1732840980.0,0.2031,0.2032,0.203,0.2032,83123.2
2024-11-29 00:44:00,1732841040.0,0.2032,0.2032,0.203,0.203,79144.6
2024-11-29 00:45:00,1732841100.0,0.2031,0.2031,0.203,0.203,29820.4
2024-11-29 00:46:00,1732841160.0,0.2031,0.2031,0.203,0.203,22141.7
2024-11-29 00:47:00,1732841220.0,0.2031,0.2032,0.203,0.2031,296895.0
2024-11-29 00:48:00,1732841280.0,0.2031,0.2031,0.203,0.2031,36140.8
2024-11-29 00:49:00,1732841340.0,0.2031,0.2031,0.203,0.2031,19676.0
2024-11-29 00:50:00,1732841400.0,0.203,0.203,0.2028,0.2029,577835.9
2024-11-29 00:51:00,1732841460.0,0.2029,0.2029,0.2025,0.2026,1954468.4
2024-11-29 00:52:00,1732841520.0,0.2027,0.2028,0.2024,0.2025,1711626.8
2024-11-29 00:53:00,1732841580.0,0.2025,0.2025,0.2024,0.2024,50734.8
2024-11-29 00:54:00,1732841640.0,0.2025,0.2025,0.2024,0.2024,207493.9
2024-11-29 00:55:00,1732841700.0,0.2024,0.2025,0.2024,0.2024,33499.7
2024-11-29 00:56:00,1732841760.0,0.2024,0.2026,0.2024,0.2026,212476.3
2024-11-29 00:57:00,1732841820.0,0.2026,0.2026,0.2024,0.2024,204171.5
2024-11-29 00:58:00,1732841880.0,0.2024,0.2025,0.2024,0.2024,143738.0
