Universal Time,Unix Time,Open,High,Low,Close,Volume
2021-08-30 00:00:00,1630281600.0,26.8,26.8,26.76,26.78,1068.69
2021-08-30 00:01:00,1630281660.0,26.78,26.83,26.77,26.82,1493.43
2021-08-30 00:02:00,1630281720.0,26.81,26.82,26.74,26.74,1950.72
2021-08-30 00:03:00,1630281780.0,26.75,26.75,26.64,26.68,4604.19
2021-08-30 00:04:00,1630281840.0,26.67,26.76,26.66,26.76,1123.98
2021-08-30 00:05:00,1630281900.0,26.76,26.83,26.74,26.81,2136.72
2021-08-30 00:06:00,1630281960.0,26.81,26.85,26.81,26.85,1171.37
2021-08-30 00:07:00,1630282020.0,26.84,26.84,26.81,26.84,1409.37
2021-08-30 00:08:00,1630282080.0,26.85,26.88,26.83,26.88,3204.64
2021-08-30 00:09:00,1630282140.0,26.89,26.89,26.87,26.89,729.49
2021-08-30 00:10:00,1630282200.0,26.88,26.91,26.86,26.89,811.56
2021-08-30 00:11:00,1630282260.0,26.87,26.89,26.86,26.89,1294.29
2021-08-30 00:12:00,1630282320.0,26.89,26.89,26.87,26.89,89.85
2021-08-30 00:13:00,1630282380.0,26.89,26.89,26.83,26.83,516.96
2021-08-30 00:14:00,1630282440.0,26.83,26.84,26.79,26.79,2628.7
2021-08-30 00:15:00,1630282500.0,26.8,26.8,26.72,26.73,1251.14
2021-08-30 00:16:00,1630282560.0,26.75,26.75,26.7,26.71,1585.22
2021-08-30 00:17:00,1630282620.0,26.72,26.74,26.69,26.74,1012.03
2021-08-30 00:18:00,1630282680.0,26.73,26.73,26.69,26.7,738.0
2021-08-30 00:19:00,1630282740.0,26.71,26.72,26.7,26.71,44.04
2021-08-30 00:20:00,1630282800.0,26.69,26.74,26.68,26.72,1226.48
2021-08-30 00:21:00,1630282860.0,26.71,26.71,26.67,26.7,1384.42
2021-08-30 00:22:00,1630282920.0,26.68,26.7,26.64,26.68,1504.69
2021-08-30 00:23:00,1630282980.0,26.68,26.69,26.64,26.68,494.01
2021-08-30 00:24:00,1630283040.0,26.65,26.67,26.62,26.62,3143.86
